id;title;description;publication_date;price;book_image;book_image_content_type
1;mobile Fish;Home Loan Account Table Computer;2019-10-15;45924;../fake-data/blob/hipster.png;image/png
2;seamless Metal deposit;Producer;2019-10-14;93855;../fake-data/blob/hipster.png;image/png
3;Electronics;Soap methodology Albania;2019-10-14;2306;../fake-data/blob/hipster.png;image/png
4;Namibia;Steel zero administration;2019-10-14;23277;../fake-data/blob/hipster.png;image/png
5;Licensed Savings Account;Cambridgeshire Mississippi;2019-10-15;85994;../fake-data/blob/hipster.png;image/png
6;Yuan Renminbi Centers;Factors;2019-10-14;56328;../fake-data/blob/hipster.png;image/png
7;envisioneer Music Public-key;infomediaries;2019-10-14;60999;../fake-data/blob/hipster.png;image/png
8;backing up Salad;Digitized invoice;2019-10-14;42515;../fake-data/blob/hipster.png;image/png
9;sky blue Georgia;Facilitator;2019-10-14;44975;../fake-data/blob/hipster.png;image/png
10;e-enable Communications capacitor;Awesome;2019-10-14;52083;../fake-data/blob/hipster.png;image/png
